BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1;Aeugst a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;169;Gebäudevolumen [1000 m3];2018;970;1000 m3;Tausend Kubikmeter;
1;Aeugst a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;167;Geb.Vol. Wohnen: Anteil [%];2018;71.3;%;Prozent;
1;Aeugst a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;157;Geb.Vol. Dienstleistungen: Anteil [%];2018;1.2;%;Prozent;
1;Aeugst a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;161;Geb.Vol. Infrastruktur: Anteil [%];2018;5.3;%;Prozent;
1;Aeugst a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;159;Geb.Vol. Industrie/Lager: Anteil [%];2018;2.5;%;Prozent;
1;Aeugst a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;163;Geb.Vol. Landwirtschaft: Anteil [%];2018;14.2;%;Prozent;
1;Aeugst a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;165;Geb.Vol. Nebengebäude: Anteil [%];2018;5.5;%;Prozent;
1;Aeugst a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;170;Gebäudevolumen: Zunahme [%];2018;0.4;%;Prozent;
1;Aeugst a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;168;Geb.Vol. Wohnen: Zunahme [%];2018;0.6;%;Prozent;
1;Aeugst a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;158;Geb.Vol. Dienstleistungen: Zunahme [%];2018;0.0;%;Prozent;
1;Aeugst a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;162;Geb.Vol. Infrastruktur: Zunahme [%];2018;-0.7;%;Prozent;
1;Aeugst a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;160;Geb.Vol. Industrie/Lager: Zunahme [%];2018;0.0;%;Prozent;
1;Aeugst a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;164;Geb.Vol. Landwirtschaft: Zunahme [%];2018;-0.1;%;Prozent;
1;Aeugst a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;166;Geb.Vol. Nebengebäude: Zunahme [%];2018;0.3;%;Prozent;
1;Aeugst a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;381;Leerwohnungen Total [Anz.];2018;14;Whg.;Wohnungen;
1;Aeugst a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2018;1.55;%;Prozent;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;68;Steuerfuss juristische Personen [%];2018;109.00;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;169;Gebäudevolumen [1000 m3];2018;5262;1000 m3;Tausend Kubikmeter;
2;Affoltern a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;167;Geb.Vol. Wohnen: Anteil [%];2018;56.9;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;157;Geb.Vol. Dienstleistungen: Anteil [%];2018;11.4;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;161;Geb.Vol. Infrastruktur: Anteil [%];2018;8.8;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;159;Geb.Vol. Industrie/Lager: Anteil [%];2018;15.1;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;163;Geb.Vol. Landwirtschaft: Anteil [%];2018;3.8;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;165;Geb.Vol. Nebengebäude: Anteil [%];2018;4.0;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;170;Gebäudevolumen: Zunahme [%];2018;3.1;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;168;Geb.Vol. Wohnen: Zunahme [%];2018;2.6;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;158;Geb.Vol. Dienstleistungen: Zunahme [%];2018;12.6;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;162;Geb.Vol. Infrastruktur: Zunahme [%];2018;0.3;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;160;Geb.Vol. Industrie/Lager: Zunahme [%];2018;0.6;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;164;Geb.Vol. Landwirtschaft: Zunahme [%];2018;0.7;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;166;Geb.Vol. Nebengebäude: Zunahme [%];2018;2.9;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;381;Leerwohnungen Total [Anz.];2018;84;Whg.;Wohnungen;
2;Affoltern a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2018;1.46;%;Prozent;
2;Affoltern a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;68;Steuerfuss juristische Personen [%];2018;137.00;%;Prozent;
3;Bonstetten;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;169;Gebäudevolumen [1000 m3];2018;1929;1000 m3;Tausend Kubikmeter;
3;Bonstetten;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;167;Geb.Vol. Wohnen: Anteil [%];2018;72.0;%;Prozent;
3;Bonstetten;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;157;Geb.Vol. Dienstleistungen: Anteil [%];2018;2.6;%;Prozent;
3;Bonstetten;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;161;Geb.Vol. Infrastruktur: Anteil [%];2018;8.2;%;Prozent;
3;Bonstetten;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;159;Geb.Vol. Industrie/Lager: Anteil [%];2018;2.2;%;Prozent;
3;Bonstetten;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;163;Geb.Vol. Landwirtschaft: Anteil [%];2018;6.7;%;Prozent;
3;Bonstetten;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;165;Geb.Vol. Nebengebäude: Anteil [%];2018;8.3;%;Prozent;
3;Bonstetten;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;170;Gebäudevolumen: Zunahme [%];2018;0.0;%;Prozent;
3;Bonstetten;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;168;Geb.Vol. Wohnen: Zunahme [%];2018;0.3;%;Prozent;
3;Bonstetten;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;158;Geb.Vol. Dienstleistungen: Zunahme [%];2018;0.0;%;Prozent;
3;Bonstetten;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;162;Geb.Vol. Infrastruktur: Zunahme [%];2018;0.0;%;Prozent;
3;Bonstetten;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;160;Geb.Vol. Industrie/Lager: Zunahme [%];2018;-6.0;%;Prozent;
3;Bonstetten;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;164;Geb.Vol. Landwirtschaft: Zunahme [%];2018;0.0;%;Prozent;
3;Bonstetten;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;166;Geb.Vol. Nebengebäude: Zunahme [%];2018;0.1;%;Prozent;
3;Bonstetten;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;381;Leerwohnungen Total [Anz.];2018;26;Whg.;Wohnungen;
3;Bonstetten;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2018;1.05;%;Prozent;
3;Bonstetten;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;68;Steuerfuss juristische Personen [%];2018;122.12;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;169;Gebäudevolumen [1000 m3];2018;1795;1000 m3;Tausend Kubikmeter;
4;Hausen a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;167;Geb.Vol. Wohnen: Anteil [%];2018;59.7;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;157;Geb.Vol. Dienstleistungen: Anteil [%];2018;1.6;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;161;Geb.Vol. Infrastruktur: Anteil [%];2018;8.2;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;159;Geb.Vol. Industrie/Lager: Anteil [%];2018;8.6;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;163;Geb.Vol. Landwirtschaft: Anteil [%];2018;16.7;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;165;Geb.Vol. Nebengebäude: Anteil [%];2018;5.1;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;170;Gebäudevolumen: Zunahme [%];2018;-0.2;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;168;Geb.Vol. Wohnen: Zunahme [%];2018;-0.8;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;158;Geb.Vol. Dienstleistungen: Zunahme [%];2018;-2.3;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;162;Geb.Vol. Infrastruktur: Zunahme [%];2018;0.0;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;160;Geb.Vol. Industrie/Lager: Zunahme [%];2018;0.6;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;164;Geb.Vol. Landwirtschaft: Zunahme [%];2018;2.3;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;166;Geb.Vol. Nebengebäude: Zunahme [%];2018;-1.5;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;381;Leerwohnungen Total [Anz.];2018;29;Whg.;Wohnungen;
4;Hausen a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2018;1.67;%;Prozent;
4;Hausen a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;68;Steuerfuss juristische Personen [%];2018;126.43;%;Prozent;
5;Hedingen;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;169;Gebäudevolumen [1000 m3];2018;1637;1000 m3;Tausend Kubikmeter;
5;Hedingen;Bau und Immobilien;Gebäudevolumen, Bauinvestitionen;Gebäudevolumen;167;Geb.Vol. Wohnen: Anteil [%];2018;62.2;%;Prozent;
